"Zeitraum";"31.03.20 - 30.04.20";"";""
"";"";"";""
"";"";"Anzahl";"in Prozent"
"Total aller Anrufe";"";"3494";""
"";"";"";""
"Schicht";"Morgen (08.00)";"255";"7.30"
"";"ZD Morgen (08.00)";"232";"6.64"
"";"Vormit (10.00)";"269";"7.70"
"";"ZD Nachmittag (12.00)";"259";"7.41"
"";"Mittag (13.00)";"344";"9.85"
"";"Vorab (16.00)";"294";"8.41"
"";"Zwischendrin (17.00)";"362";"10.36"
"";"Abend (18.00)";"409";"11.71"
"";"Spät (21.00)";"446";"12.76"
"";"Nacht (23.00)";"406";"11.62"
"";"Umleiter";"192";"5.50"
"";"Chat Morgen (10.00)";"2";"0.06"
"";"Chat Nachmittag (14.00)";"2";"0.06"
"";"Chat Abend (18.00)";"11";"0.31"
"";"Mail-Beratung";"2";"0.06"
"";"Online-MO (10.00)";"0";"0.00"
"";"Online-SA-2 (14.00)";"0";"0.00"
"";"Angestel-Team";"9";"0.26"
"";"";"";""
"Geschlecht";"Weiblich";"2047";"73.63"
"";"Männlich";"727";"26.15"
"";"nicht bestimmbar";"6";"0.22"
"";"";"";""
"Alter";"bis 18 J.";"51";"1.83"
"";"19 - 40 J.";"502";"18.06"
"";"41 - 65 J.";"1038";"37.34"
"";"über 65 J.";"993";"35.72"
"";"nicht bestimmbar";"196";"7.05"
"";"";"";""
"Kontakthäufigkeit";"Erster Kontakt";"815";"29.33"
"";"Gelegentlicher, wiederholter Kontakt";"848";"30.51"
"";"Regelmässiger Kontakt";"714";"25.69"
"";"Vereinbarung";"402";"14.47"
"";"";"";""
"Beratungsinhalt";"Alltagsbewältigung";"1339";"25.06"
"";"Psychisches Leiden";"1191";"22.29"
"";"Sorge wegen Infektion";"444";"8.31"
"";"Körperliches Leiden";"341";"6.38"
"";"Einsamkeit";"511";"9.56"
"";"Familie / Erziehung";"259";"4.85"
"";"Beziehung allgemein";"205";"3.84"
"";"Paarbeziehung";"198";"3.71"
"";"Arbeit / Ausbildung";"149";"2.79"
"";"Existenzprobleme";"64";"1.20"
"";"Gewalt";"52";"0.97"
"";"Sexualität";"39";"0.73"
"";"Spiritualität / Lebenssinn";"76";"1.42"
"";"Suchtverhalten";"108";"2.02"
"";"Suizidalität";"55";"1.03"
"";"Verlust / Trauer / Tod";"64";"1.20"
"";"Verschiedenes";"247";"4.62"
"";"Medienerziehung/Swisscom";"2";"0.04"
"";"";"";""
"Zusätzliche Beanspruchung";"Verschobenes Gespräch";"391";"54.61"
"";"Schweigeanruf";"219";"30.59"
"";"Fehlanruf";"103";"14.39"
"";"Juxanruf";"1";"0.14"
"";"Ablehnung, ev. gesperrt";"2";"0.28"
"";"";"";""
"Sprache";"Deutsch";"14";"100.00"
"";"Français";"0";"0.00"
"";"";"";""
"Wohnregion";"Bern (Biel/Seeland/Berner Jura)";"0";"0.00"
"";"Aargau";"0";"0.00"
"";"Solothurn-Ost";"0";"0.00"
"";"Fribourg";"0";"0.00"
"";"Neuchâtel";"0";"0.00"
"";"Jura";"0";"0.00"
"";"Solothurn";"0";"0.00"
"";"Valais";"0";"0.00"
"";"unbekannt";"1";"100.00"
"";"Baselstadt";"0";"0.00"
"";"Baselland";"0";"0.00"
"";"";"";""
"Gesprächsdauer";"Aritmetisches Mittel";"00:16";""
"";"Median (Zentralwert)";"00:15";""
"";"";"";""
"Opferhilfe";"";"0";""
